--------- beginning of /dev/log/system 
05-19 17:11:35.445 W/ActivityManager(  374): Scheduling restart of crashed service com.google.android.apps.maps/com.google.android.location.internal.server.GoogleLocationService in 5000ms 
05-19 17:45:36.984 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42919b28 attribute=android.view.inputmethod.EditorInfo@429dc8e0, token = android.os.BinderProxy@4289d400
05-19 17:45:44.414 W/ActivityManager(  374): Timeout executing service: ServiceRecord{428c3d68 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-19 17:45:50.039 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-19 17:45:50.039 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-19 17:45:50.039 E/ActivityManager(  374): Load: 2.45 / 1.94 / 1.68
05-19 17:45:50.039 E/ActivityManager(  374): CPU usage from 4338ms to -5569ms ago:
05-19 17:45:50.039 E/ActivityManager(  374):   86% 12519/com.pekall.emdm.launcher: 83% user + 2.8% kernel / faults: 3052 minor
05-19 17:45:50.039 E/ActivityManager(  374):   79% 14810/com.pekall.emdm.launcher:remote: 79% user + 0.3% kernel / faults: 113 minor
05-19 17:45:50.039 E/ActivityManager(  374):   16% 374/system_server: 11% user + 4.6% kernel / faults: 1326 minor
05-19 17:45:50.039 E/ActivityManager(  374):   6.9% 124/surfaceflinger: 5% user + 1.9% kernel / faults: 1009 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.2% 127/mediaserver: 0% user + 0.1% kernel / faults: 1 minor
05-19 17:45:50.039 E/ActivityManager(  374):   1.2% 448/com.android.systemui: 1% user + 0.2% kernel / faults: 31 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 1661/com.qihoo360.mobilesafe:GuardService: 0.6% user + 0.3% kernel / faults: 25 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 12860/kworker/u:7: 0% user + 0.9% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 14358/kworker/u:0: 0% user + 0.9% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 14383/kworker/u:2: 0% user + 0.9% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.8% 10683/com.dragon.android.pandaspace: 0.6% user + 0.2% kernel / faults: 337 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.6% 12739/kworker/0:1: 0% user + 0.6% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.5% 14844/uiautomator: 0.4% user + 0.1% kernel / faults: 107 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.4% 121/netd: 0.1% user + 0.3% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.3% 135/adbd: 0% user + 0.3% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.3% 561/com.android.phone: 0.2% user + 0.1% kernel / faults: 24 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.3% 10758/com.qihoo.appstore: 0.2% user + 0.1% kernel / faults: 1 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.2% 117/vold: 0% user + 0.2% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 82/mmcqd/0: 0% user + 0.1% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 92/dhd_dpc: 0% user + 0.1% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 95/ueventd: 0.1% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0% 531/com.google.android.inputmethod.latin: 0% user + 0% kernel / faults: 2 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 568/com.android.nfc: 0.1% user + 0% kernel / faults: 27 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 1615/logcat: 0.1% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0% 2937/com.google.android.apps.maps: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0% 4648/logcat: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0% 10785/com.tencent.android.qqdownloader: 0% user + 0% kernel / faults: 9 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 14159/com.nd.assistance.ServerService: 0.1% user + 0% kernel / faults: 7 minor
05-19 17:45:50.039 E/ActivityManager(  374):   0% 14368/kworker/u:1: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.1% 14801/logcat: 0% user + 0.1% kernel
05-19 17:45:50.039 E/ActivityManager(  374):  +0% 14871/kworker/1:0: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374): 100% TOTAL: 92% user + 7.2% kernel
05-19 17:45:50.039 E/ActivityManager(  374): CPU usage from 4764ms to 5310ms later:
05-19 17:45:50.039 E/ActivityManager(  374):   87% 12519/com.pekall.emdm.launcher: 83% user + 3.6% kernel / faults: 298 minor
05-19 17:45:50.039 E/ActivityManager(  374):     61% 12532/Thread-642: 61% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     10% 12519/l.emdm.launcher: 9% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     9% 12597/Thread-681: 7.2% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):    +0% 14872/RefQueueWorker@: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):    +0% 14873/RefQueueWorker@: 0% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   61% 14810/com.pekall.emdm.launcher:remote: 61% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     63% 14823/Thread-762: 63% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   20% 374/system_server: 9.2% user + 11% kernel / faults: 121 minor
05-19 17:45:50.039 E/ActivityManager(  374):     5.5% 389/WindowManager: 0% user + 5.5% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     3.7% 380/Compiler: 3.7% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     3.7% 390/ActivityManager: 0% user + 3.7% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     3.7% 3489/Binder_10: 3.7% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     1.8% 386/SensorService: 0% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     1.8% 401/UEventObserver: 1.8% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     1.8% 634/Binder_B: 1.8% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   14% 124/surfaceflinger: 9% user + 5.4% kernel / faults: 721 minor
05-19 17:45:50.039 E/ActivityManager(  374):     7.2% 151/SurfaceFlinger: 5.4% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     1.8% 169/EventThread: 0% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):     1.8% 5942/Binder_6: 1.8% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 92/dhd_dpc: 0% user + 0.9% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   0.9% 95/ueventd: 0.9% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.8% 121/netd: 1.8% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.8% 135/adbd: 0% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1% 448/com.android.systemui: 1% user + 0% kernel / faults: 3 minor
05-19 17:45:50.039 E/ActivityManager(  374):     1% 448/ndroid.systemui: 1% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.1% 1615/logcat: 1.1% user + 0% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.1% 12739/kworker/0:1: 0% user + 1.1% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.2% 14368/kworker/u:1: 0% user + 1.2% kernel
05-19 17:45:50.039 E/ActivityManager(  374):   1.8% 14383/kworker/u:2: 0% user + 1.8% kernel
05-19 17:45:50.039 E/ActivityManager(  374): 100% TOTAL: 83% user + 16% kernel
05-19 17:45:50.039 W/ActivityManager(  374): Killing ProcessRecord{427ad868 14810:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-19 17:45:50.320 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 14810) has died.
05-19 17:45:50.320 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 320000ms
05-19 17:45:50.438 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 12519
05-19 17:45:52.336 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:45:53.039 W/ActivityManager(  374): Unable to start service Intent { act=pekall.intent.action.DOWNLOAD_APP (has extras) } U=0: not found
05-19 17:45:53.805 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 374
05-19 17:45:59.789 V/PanelView(  448): animationTick called with dtms=0; nothing to do (h=0.0 v=4000.0)
05-19 17:46:04.195 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=14914 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-19 17:46:04.383 D/ActivityThread(14914): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:46:07.797 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:46:08.609 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:46:08.609 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:46:08.617 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:46:08.625 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:46:08.641 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:46:08.641 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:46:08.641 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:46:08.656 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:46:08.664 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:46:08.664 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:46:08.688 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:46:08.688 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:46:08.688 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:46:08.719 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:46:11.625 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:46:11.656 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:46:11.656 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:46:11.672 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:46:12.078 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:46:12.078 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:46:12.078 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:46:12.281 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:46:12.305 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:46:12.305 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:46:12.399 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:46:12.445 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:46:12.445 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:46:12.453 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:46:23.805 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-19 17:46:24.219 W/ActivityManager(  374): Timeout executing service: ServiceRecord{428c3d68 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-19 17:46:30.109 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-19 17:46:30.109 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-19 17:46:30.109 E/ActivityManager(  374): Load: 2.74 / 2.07 / 1.74
05-19 17:46:30.109 E/ActivityManager(  374): CPU usage from 0ms to 5866ms later:
05-19 17:46:30.109 E/ActivityManager(  374):   87% 12519/com.pekall.emdm.launcher: 87% user + 0.1% kernel / faults: 319 minor
05-19 17:46:30.109 E/ActivityManager(  374):   80% 14914/com.pekall.emdm.launcher:remote: 80% user + 0.1% kernel / faults: 121 minor
05-19 17:46:30.109 E/ActivityManager(  374):   23% 374/system_server: 17% user + 5.4% kernel / faults: 849 minor 7 major
05-19 17:46:30.109 E/ActivityManager(  374):   3.4% 448/com.android.systemui: 3.2% user + 0.1% kernel / faults: 80 minor
05-19 17:46:30.109 E/ActivityManager(  374):   1.8% 1661/com.qihoo360.mobilesafe:GuardService: 1.5% user + 0.3% kernel / faults: 162 minor
05-19 17:46:30.109 E/ActivityManager(  374):   0.8% 561/com.android.phone: 0.5% user + 0.3% kernel / faults: 99 minor
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 568/com.android.nfc: 0% user + 0% kernel / faults: 120 minor
05-19 17:46:30.109 E/ActivityManager(  374):   0.5% 124/surfaceflinger: 0.1% user + 0.3% kernel / faults: 444 minor
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 82/mmcqd/0: 0% user + 0.1% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 135/adbd: 0% user + 0.1% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 10683/com.dragon.android.pandaspace: 0.1% user + 0% kernel / faults: 1 minor
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 10758/com.qihoo.appstore: 0.1% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   0.1% 14159/com.nd.assistance.ServerService: 0.1% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   0% 14368/kworker/u:1: 0% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374): 99% TOTAL: 96% user + 3.7% kernel
05-19 17:46:30.109 E/ActivityManager(  374): CPU usage from 4929ms to 5467ms later:
05-19 17:46:30.109 E/ActivityManager(  374):   96% 14914/com.pekall.emdm.launcher:remote: 96% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):     94% 14928/Thread-766: 94% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   94% 12519/com.pekall.emdm.launcher: 94% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):     94% 12532/Thread-642: 94% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   9.2% 374/system_server: 3.7% user + 5.5% kernel / faults: 12 minor
05-19 17:46:30.109 E/ActivityManager(  374):     7.4% 390/ActivityManager: 0% user + 7.4% kernel
05-19 17:46:30.109 E/ActivityManager(  374):     1.8% 380/Compiler: 1.8% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):     1.8% 404/AlarmManager: 1.8% user + 0% kernel
05-19 17:46:30.109 E/ActivityManager(  374):   1.1% 1661/com.qihoo360.mobilesafe:GuardService: 0% user + 1.1% kernel
05-19 17:46:30.109 E/ActivityManager(  374):     1.1% 1661/fe:GuardService: 0% user + 1.1% kernel
05-19 17:46:30.109 E/ActivityManager(  374): 100% TOTAL: 97% user + 2.7% kernel
05-19 17:46:30.117 W/ActivityManager(  374): Killing ProcessRecord{422aaa50 14914:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-19 17:46:30.242 W/ActivityManager(  374): Sleep timeout!  Sleeping now.
05-19 17:46:30.250 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 14914) has died.
05-19 17:46:30.250 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 5000ms
05-19 17:46:30.359 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42350d00 attribute=android.view.inputmethod.EditorInfo@42a60d70, token = android.os.BinderProxy@426431b8
05-19 17:46:30.602 W/BroadcastQueue(  374): Failure sending broadcast Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 }
05-19 17:46:30.602 W/BroadcastQueue(  374): android.os.DeadObjectException
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at android.os.BinderProxy.transact(Native Method)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at android.content.IIntentReceiver$Stub$Proxy.performReceive(IIntentReceiver.java:124)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.performReceiveLocked(BroadcastQueue.java:376)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.deliverToRegisteredReceiverLocked(BroadcastQueue.java:449)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.processNextBroadcast(BroadcastQueue.java:656)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.finishReceiver(ActivityManagerService.java:12390)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:379)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:1737)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at android.os.Binder.execTransact(Binder.java:388)
05-19 17:46:30.602 W/BroadcastQueue(  374): 	at dalvik.system.NativeStart.run(Native Method)
05-19 17:46:30.617 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back home RECENT* clock SEARCH* >
05-19 17:46:30.734 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-19 17:46:35.313 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=14955 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-19 17:46:35.695 D/ActivityThread(14955): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:46:35.695 D/ActivityThread(14955): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:46:40.461 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:46:55.328 W/ActivityManager(  374): Timeout executing service: ServiceRecord{428c3d68 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-19 17:47:00.703 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-19 17:47:00.703 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-19 17:47:00.703 E/ActivityManager(  374): Load: 3.05 / 2.22 / 1.8
05-19 17:47:00.703 E/ActivityManager(  374): CPU usage from 3180ms to -5338ms ago:
05-19 17:47:00.703 E/ActivityManager(  374):   90% 12519/com.pekall.emdm.launcher: 90% user + 0% kernel
05-19 17:47:00.703 E/ActivityManager(  374):   85% 14955/com.pekall.emdm.launcher:remote: 85% user + 0.2% kernel / faults: 114 minor
05-19 17:47:00.703 E/ActivityManager(  374):   19% 374/system_server: 16% user + 3% kernel / faults: 641 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0.6% 448/com.android.systemui: 0.4% user + 0.1% kernel / faults: 22 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0.2% 561/com.android.phone: 0.2% user + 0% kernel / faults: 164 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0.8% 1661/com.qihoo360.mobilesafe:GuardService: 0.8% user + 0% kernel / faults: 142 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0% 568/com.android.nfc: 0% user + 0% kernel / faults: 27 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0.1% 82/mmcqd/0: 0% user + 0.1% kernel
05-19 17:47:00.703 E/ActivityManager(  374):   0.1% 135/adbd: 0% user + 0.1% kernel
05-19 17:47:00.703 E/ActivityManager(  374):   0.1% 14159/com.nd.assistance.ServerService: 0% user + 0.1% kernel / faults: 37 minor
05-19 17:47:00.703 E/ActivityManager(  374):   0% 14530/com.google.android.apps.maps:LocationFriendService: 0% user + 0% kernel / faults: 269 minor
05-19 17:47:00.703 E/ActivityManager(  374): 100% TOTAL: 97% user + 2.2% kernel
05-19 17:47:00.703 E/ActivityManager(  374): CPU usage from 4550ms to 5085ms later:
05-19 17:47:00.703 E/ActivityManager(  374):   101% 14955/com.pekall.emdm.launcher:remote: 101% user + 0% kernel
05-19 17:47:00.703 E/ActivityManager(  374):     101% 14968/Thread-768: 101% user + 0% kernel
05-19 17:47:00.703 E/ActivityManager(  374):   92% 12519/com.pekall.emdm.launcher: 92% user + 0% kernel
05-19 17:47:00.703 E/ActivityManager(  374):     92% 12532/Thread-642: 92% user + 0% kernel
05-19 17:47:00.703 E/ActivityManager(  374):   7.4% 374/system_server: 0% user + 7.4% kernel / faults: 1 minor
05-19 17:47:00.703 E/ActivityManager(  374):     7.4% 390/ActivityManager: 1.8% user + 5.5% kernel
05-19 17:47:00.703 E/ActivityManager(  374): 100% TOTAL: 97% user + 2.7% kernel
05-19 17:47:00.711 W/ActivityManager(  374): Killing ProcessRecord{429209d0 14955:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-19 17:47:00.930 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 14955) has died.
05-19 17:47:00.938 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 20000ms
05-19 17:47:08.531 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:47:08.531 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:47:08.531 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:47:08.539 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:47:08.539 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:47:08.539 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:47:08.539 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:47:08.547 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:47:08.547 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:47:08.555 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:47:08.555 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:47:08.555 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:47:08.555 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:47:08.555 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-19 17:47:08.891 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-19 17:47:08.899 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-19 17:47:08.906 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-19 17:47:20.945 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=14995 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-19 17:47:21.359 D/ActivityThread(14995): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:47:21.445 D/ActivityThread(14995): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-19 17:47:26.617 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-19 17:47:40.992 W/ActivityManager(  374): Timeout executing service: ServiceRecord{428c3d68 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-19 17:47:47.383 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-19 17:47:47.383 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-19 17:47:47.383 E/ActivityManager(  374): Load: 3.02 / 2.31 / 1.85
05-19 17:47:47.383 E/ActivityManager(  374): CPU usage from 0ms to 6359ms later:
05-19 17:47:47.383 E/ActivityManager(  374):   86% 12519/com.pekall.emdm.launcher: 86% user + 0.4% kernel / faults: 279 minor
05-19 17:47:47.383 E/ActivityManager(  374):   83% 14995/com.pekall.emdm.launcher:remote: 83% user + 0% kernel / faults: 105 minor
05-19 17:47:47.383 E/ActivityManager(  374):   24% 374/system_server: 20% user + 3.7% kernel / faults: 429 minor
05-19 17:47:47.383 E/ActivityManager(  374):   0.5% 448/com.android.systemui: 0.4% user + 0.1% kernel / faults: 22 minor
05-19 17:47:47.383 E/ActivityManager(  374):   1.4% 8665/com.google.android.email: 1% user + 0.3% kernel / faults: 140 minor
05-19 17:47:47.383 E/ActivityManager(  374):   0.6% 561/com.android.phone: 0.4% user + 0.1% kernel / faults: 22 minor
05-19 17:47:47.383 E/ActivityManager(  374):   0% 568/com.android.nfc: 0% user + 0% kernel / faults: 27 minor
05-19 17:47:47.383 E/ActivityManager(  374):   0.3% 10758/com.qihoo.appstore: 0.3% user + 0% kernel
05-19 17:47:47.383 E/ActivityManager(  374):   0.1% 135/adbd: 0% user + 0.1% kernel
05-19 17:47:47.383 E/ActivityManager(  374):   0% 10785/com.tencent.android.qqdownloader: 0% user + 0% kernel / faults: 6 minor
05-19 17:47:47.383 E/ActivityManager(  374):   0% 12739/kworker/0:1: 0% user + 0% kernel
05-19 17:47:47.383 E/ActivityManager(  374): 100% TOTAL: 97% user + 2.6% kernel
05-19 17:47:47.383 E/ActivityManager(  374): CPU usage from 5375ms to 5926ms later:
