--------- beginning of /dev/log/system 
05-22 10:17:34.189 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothInputDevice.<init>:240 android.bluetooth.BluetoothAdapter.getProfileProxy:1168 com.android.settings.bluetooth.LocalBluetoothAdapter.getProfileProxy:94  
05-22 10:17:34.197 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothPan.<init>:141 android.bluetooth.BluetoothAdapter.getProfileProxy:1171 com.android.settings.bluetooth.PanProfile.<init>:73  
05-22 10:17:34.205 W/ContextImpl(12685): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 android.bluetooth.BluetoothPbap.<init>:161 com.android.settings.bluetooth.PbapServerProfile.<init>:68 com.android.settings.bluetooth.LocalBluetoothProfileManager.<init>:124  
05-22 10:17:34.353 D/WifiService(  374): setWifiEnabled: true pid=12685, uid=1000 
05-22 10:44:35.986 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:44:35.986 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:44:35.986 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:44:36.010 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:44:36.025 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:44:36.041 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:44:39.252 W/ActivityManager(  374): Timeout executing service: ServiceRecord{42a3a7c8 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-22 10:44:50.181 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-22 10:44:50.181 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-22 10:44:50.181 E/ActivityManager(  374): Load: 2.64 / 2.73 / 2.33
05-22 10:44:50.181 E/ActivityManager(  374): CPU usage from 0ms to 10899ms later:
05-22 10:44:50.181 E/ActivityManager(  374):   88% 14051/com.pekall.emdm.launcher: 88% user + 0% kernel / faults: 183 minor
05-22 10:44:50.181 E/ActivityManager(  374):   86% 14350/com.pekall.emdm.launcher:remote: 85% user + 0.3% kernel / faults: 111 minor
05-22 10:44:50.181 E/ActivityManager(  374):   17% 374/system_server: 13% user + 4.6% kernel / faults: 588 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0.9% 448/com.android.systemui: 0.7% user + 0.1% kernel / faults: 32 minor
05-22 10:44:50.181 E/ActivityManager(  374):   1% 1468/com.qihoo.daemon: 0.6% user + 0.3% kernel / faults: 445 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0.4% 561/com.android.phone: 0.2% user + 0.1% kernel / faults: 50 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 568/com.android.nfc: 0% user + 0% kernel / faults: 28 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 11622/android.process.media: 0% user + 0% kernel / faults: 23 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0.1% 12874/com.qihoo.appstore: 0.1% user + 0% kernel / faults: 2 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 124/surfaceflinger: 0% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   0% 135/adbd: 0% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   0% 1661/com.qihoo360.mobilesafe:GuardService: 0% user + 0% kernel / faults: 6 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 11077/com.tencent.android.qqdownloader: 0% user + 0% kernel / faults: 9 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 12631/com.nd.assistance.ServerService: 0% user + 0% kernel / faults: 1 minor
05-22 10:44:50.181 E/ActivityManager(  374):   0% 13144/kworker/0:0: 0% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   0% 13803/kworker/u:5: 0% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   0% 14287/logcat: 0% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374): 99% TOTAL: 96% user + 3.3% kernel
05-22 10:44:50.181 E/ActivityManager(  374): CPU usage from 9853ms to 10393ms later:
05-22 10:44:50.181 E/ActivityManager(  374):   91% 14350/com.pekall.emdm.launcher:remote: 91% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):     91% 14364/Thread-4933: 91% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   87% 14051/com.pekall.emdm.launcher: 87% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):     88% 14064/Thread-4917: 88% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   7.4% 374/system_server: 1.8% user + 5.5% kernel
05-22 10:44:50.181 E/ActivityManager(  374):     9.2% 390/ActivityManager: 3.7% user + 5.5% kernel
05-22 10:44:50.181 E/ActivityManager(  374):   2.2% 1468/com.qihoo.daemon: 2.2% user + 0% kernel / faults: 311 minor
05-22 10:44:50.181 E/ActivityManager(  374):     1.5% 1471/GC: 1.5% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):     0.7% 1475/Compiler: 0.7% user + 0% kernel
05-22 10:44:50.181 E/ActivityManager(  374):     0.7% 1485/PrefManager: 0% user + 0.7% kernel
05-22 10:44:50.181 E/ActivityManager(  374): 100% TOTAL: 95% user + 4.6% kernel
05-22 10:44:50.205 W/ActivityManager(  374): Killing ProcessRecord{42846fa0 14350:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:44:50.330 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 14350) has died.
05-22 10:44:50.330 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 320000ms
05-22 10:44:50.900 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:44:50.900 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:44:50.900 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:44:50.908 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:44:50.916 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:44:50.916 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:44:50.924 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:44:50.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:44:50.924 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:44:59.767 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:44:59.908 I/WindowManager(  374): Lock screen displayed!
05-22 10:45:03.072 D/PhoneStatusBar(  448): disable: < expand* icons alerts ticker* system_info BACK HOME recent* CLOCK search* >
05-22 10:45:03.142 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-22 10:45:03.166 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42912c48 attribute=android.view.inputmethod.EditorInfo@428e4790, token = android.os.BinderProxy@42d7dc80
05-22 10:45:09.260 I/ActivityManager(  374): START u0 {flg=0x10000000 cmp=com.pekall.emdm.launcher/.ui.BackPersonalActivity} from pid 14051
05-22 10:45:09.471 I/ActivityManager(  374): START u0 {flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 14051
05-22 10:45:09.471 W/ActivityManager(  374): Duplicate finish request for ActivityRecord{426caf58 u0 com.pekall.emdm.launcher/.ui.BackPersonalActivity}
05-22 10:45:16.752 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.settings/.Settings} from pid 576
05-22 10:45:16.994 I/ActivityManager(  374): Process com.google.android.email (pid 13994) has died.
05-22 10:45:17.150 D/WifiService(  374): setWifiEnabled: true pid=13966, uid=1000
05-22 10:45:20.439 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from pid 13966
05-22 10:45:23.549 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from pid 13966
05-22 10:45:24.635 I/ActivityManager(  374): START u0 {cmp=com.android.settings/.DeviceAdminAdd (has extras)} from pid 13966
05-22 10:45:25.916 I/ActivityManager(  374): START u0 {flg=0x10000000 cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 14051
05-22 10:45:26.041 W/InputMethodManagerService(  374): Focus gain on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@42c1fdd0 (uid=1000 pid=13966)
05-22 10:45:26.674 I/ActivityManager(  374): START u0 {act=launcher.action.to.personal cmp=com.pekall.emdm.launcher/.ui.BackPersonalActivity} from pid 14051
05-22 10:45:26.846 I/ActivityManager(  374): START u0 {act=android.intent.action.VIEW flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 14051
05-22 10:45:31.455 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.android.settings/.Settings} from pid 576
05-22 10:45:32.650 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from pid 13966
05-22 10:45:32.721 W/ContextImpl(13966): Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1439 android.content.ContextWrapper.bindService:496 com.android.settings.applications.ManageApplications.onCreate:861 android.app.Fragment.performCreate:1673 android.app.FragmentManagerImpl.moveToState:854 
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:45:35.556 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:45:35.564 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:45:35.564 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:45:35.572 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:45:35.572 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:45:35.572 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:45:35.580 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:45:35.869 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:45:35.877 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:45:35.908 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cmp=com.android.settings/.SubSettings (has extras)} from pid 13966
05-22 10:45:39.181 I/ActivityManager(  374): Force stopping package com.pekall.emdm.launcher appid=10066 user=0
05-22 10:45:39.181 I/ActivityManager(  374): Killing proc 14051:com.pekall.emdm.launcher/u0a10066: force stop com.pekall.emdm.launcher
05-22 10:45:39.189 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.pekall.emdm.MdmService in 5000ms
05-22 10:45:39.189 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.pekall.emdm.contacts.service.PhoneService in 15000ms
05-22 10:45:39.189 I/ActivityManager(  374):   Force finishing activity ActivityRecord{427b5718 u0 com.pekall.emdm.launcher/.Launcher}
05-22 10:45:39.189 I/ActivityManager(  374):   Force stopping service ServiceRecord{431048a0 u0 com.pekall.emdm.launcher/com.pekall.emdm.contacts.service.PhoneService}
05-22 10:45:39.189 I/ActivityManager(  374):   Force stopping service ServiceRecord{431921b8 u0 com.pekall.emdm.launcher/com.pekall.emdm.MdmService}
05-22 10:45:39.252 I/WindowState(  374): WIN DEATH: Window{42ffec28 u0 com.pekall.emdm.launcher/com.pekall.emdm.launcher.Launcher}
05-22 10:45:39.486 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42a0b168 attribute=null, token = android.os.BinderProxy@42998f90
05-22 10:45:51.166 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 576
05-22 10:45:51.346 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher for activity com.pekall.emdm.launcher/.Launcher: pid=14465 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-22 10:45:52.471 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.SplashActivity} from pid 14465
05-22 10:45:52.978 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{426caf58 u0 com.pekall.emdm.launcher/.Launcher}
05-22 10:45:54.619 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:45:54.650 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:45:55.603 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.AdvActivity} from pid 14465
05-22 10:46:00.853 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.ActiveDeviceAdminActivity} from pid 14465
05-22 10:46:02.072 I/ActivityManager(  374): START u0 {act=android.app.action.ADD_DEVICE_ADMIN cmp=com.android.settings/.DeviceAdminAdd (has extras)} from pid 14465
05-22 10:46:03.424 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm.launcher/com.pekall.emdm.ui.RegDeviceActivity} from pid 14465
05-22 10:46:32.658 I/ActivityManager(  374): START u0 {flg=0x8000 cmp=com.pekall.emdm.launcher/.Launcher} from pid 14465
05-22 10:46:34.588 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:46:35.674 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:46:35.674 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:46:35.674 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:46:35.681 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:46:35.681 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:46:35.681 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:46:35.681 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:46:35.681 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:46:35.689 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:46:36.205 W/ActivityManager(  374): Unable to start service Intent { act=pekall.intent.action.DOWNLOAD_APP (has extras) } U=0: not found
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:46:36.439 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:46:36.447 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:46:36.447 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:46:36.447 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:46:36.447 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:46:36.447 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:46:36.455 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:46:46.705 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=14585 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-22 10:46:46.885 D/ActivityThread(14585): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:46:46.885 D/ActivityThread(14585): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:46:49.447 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:46:54.408 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-22 10:47:00.346 D/PhoneStatusBar(  448): disable: < EXPAND* icons alerts TICKER* system_info back home RECENT* clock SEARCH* >
05-22 10:47:00.517 D/PhoneStatusBar(  448): disable: < EXPAND icons alerts TICKER system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-22 10:47:05.244 I/ActivityManager(  374): No longer want com.nd.assistance.ServerService (pid 12631): empty for 1804s
05-22 10:47:05.252 I/ActivityManager(  374): No longer want com.nd.assistance (pid 12618): empty for 1804s
05-22 10:47:05.455 W/ActivityManager(  374): Scheduling restart of crashed service com.nd.assistance/.server.ServerService in 5000ms
05-22 10:47:05.799 W/BroadcastQueue(  374): Timeout of broadcast BroadcastRecord{430f6798 u-1 android.intent.action.SCREEN_OFF} - receiver=android.os.BinderProxy@42a54420, started 10000ms ago
05-22 10:47:05.799 W/BroadcastQueue(  374): Receiver during timeout: BroadcastFilter{4295fbe0 u0 ReceiverList{42962558 14585 com.pekall.emdm.launcher:remote/10066/u0 remote:42a54420}}
05-22 10:47:10.752 W/ProcessStats(  374): Skipping unknown process pid 14625
05-22 10:47:12.056 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-22 10:47:12.056 E/ActivityManager(  374): Reason: Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 }
05-22 10:47:12.056 E/ActivityManager(  374): Load: 2.91 / 2.69 / 2.36
05-22 10:47:12.056 E/ActivityManager(  374): CPU usage from 632ms to -6141ms ago:
05-22 10:47:12.056 E/ActivityManager(  374):   74% 14465/com.pekall.emdm.launcher: 74% user + 0% kernel / faults: 136 minor
05-22 10:47:12.056 E/ActivityManager(  374):   65% 14585/com.pekall.emdm.launcher:remote: 64% user + 0.4% kernel / faults: 120 minor
05-22 10:47:12.056 E/ActivityManager(  374):   24% 374/system_server: 20% user + 4.5% kernel / faults: 417 minor
05-22 10:47:12.056 E/ActivityManager(  374):   6.7% 448/com.android.systemui: 6.3% user + 0.4% kernel / faults: 66 minor
05-22 10:47:12.056 E/ActivityManager(  374):   1.1% 135/adbd: 0.1% user + 1% kernel / faults: 90 minor
05-22 10:47:12.056 E/ActivityManager(  374):   0.2% 561/com.android.phone: 0.1% user + 0% kernel / faults: 85 minor
05-22 10:47:12.056 E/ActivityManager(  374):   0.2% 568/com.android.nfc: 0.1% user + 0% kernel / faults: 81 minor
05-22 10:47:12.056 E/ActivityManager(  374):   0.2% 12874/com.qihoo.appstore: 0.2% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0.2% 13144/kworker/0:0: 0% user + 0.2% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0% 12/sync_supers: 0% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0% 13047/kworker/u:0: 0% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0% 14572/logcat: 0% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0.1% 14623/logcat: 0.1% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0% 29624/com.google.android.deskclock: 0% user + 0% kernel / faults: 41 minor
05-22 10:47:12.056 E/ActivityManager(  374):  +0% 14654/app_process: 0% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374): 99% TOTAL: 92% user + 6.9% kernel
05-22 10:47:12.056 E/ActivityManager(  374): CPU usage from 5288ms to 5869ms later:
05-22 10:47:12.056 E/ActivityManager(  374):   92% 14465/com.pekall.emdm.launcher: 92% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):     92% 14479/Thread-4935: 92% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   66% 14585/com.pekall.emdm.launcher:remote: 66% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):     66% 14599/Thread-4939: 66% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   8.7% 374/system_server: 3.5% user + 5.2% kernel / faults: 1 minor
05-22 10:47:12.056 E/ActivityManager(  374):     8.7% 390/ActivityManager: 3.5% user + 5.2% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   5.2% 135/adbd: 0% user + 5.2% kernel / faults: 18 minor
05-22 10:47:12.056 E/ActivityManager(  374):     3.5% 135/adbd: 0% user + 3.5% kernel
05-22 10:47:12.056 E/ActivityManager(  374):     1.7% 3435/adbd: 0% user + 1.7% kernel
05-22 10:47:12.056 E/ActivityManager(  374):     1.7% 3436/adbd: 1.7% user + 0% kernel
05-22 10:47:12.056 E/ActivityManager(  374):   0.9% 13144/kworker/0:0: 0% user + 0.9% kernel
05-22 10:47:12.056 E/ActivityManager(  374): 99% TOTAL: 83% user + 15% kernel
05-22 10:47:12.064 W/ActivityManager(  374): Killing ProcessRecord{4286e130 14585:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:47:12.064 W/ActivityManager(  374): Timeout executing service: ServiceRecord{4301b240 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-22 10:47:12.064 I/ActivityManager(  374): Skipping duplicate ANR: ProcessRecord{4286e130 14585:com.pekall.emdm.launcher:remote/u0a10066} Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-22 10:47:12.103 I/ActivityManager(  374): Start proc com.nd.assistance for broadcast com.nd.assistance/.controller.DaemonController: pid=14657 uid=10068 gids={50068, 3003, 1015, 1006, 1028}
05-22 10:47:12.127 I/ActivityManager(  374): Start proc com.nd.assistance.ServerService for service com.nd.assistance/.server.ServerService: pid=14662 uid=10068 gids={50068, 3003, 1015, 1006, 1028}
05-22 10:47:12.127 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 14585) has died.
05-22 10:47:12.142 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 5000ms
05-22 10:47:12.275 W/BroadcastQueue(  374): Failure [background] sending broadcast result of Intent { act=android.intent.action.START_SOCKET_SERVER flg=0x10 }
05-22 10:47:12.275 W/BroadcastQueue(  374): android.os.DeadObjectException
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at android.os.BinderProxy.transact(Native Method)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at android.content.IIntentReceiver$Stub$Proxy.performReceive(IIntentReceiver.java:124)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.performReceiveLocked(BroadcastQueue.java:376)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.processNextBroadcast(BroadcastQueue.java:599)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.finishReceiver(ActivityManagerService.java:12390)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:379)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:1737)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at android.os.Binder.execTransact(Binder.java:388)
05-22 10:47:12.275 W/BroadcastQueue(  374): 	at dalvik.system.NativeStart.run(Native Method)
05-22 10:47:17.158 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=14720 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-22 10:47:17.471 D/ActivityThread(14720): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:47:17.478 D/ActivityThread(14720): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
