--------- beginning of /dev/log/system 
05-22 10:07:14.838 W/ActivityManager(  374): Killing ProcessRecord{42540e98 12499:com.pekall.emdm.launcher:remote/u0a10066}: background ANR 
05-22 10:35:14.486 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:35:14.494 I/WindowManager(  374): No lock screen!
05-22 10:35:14.697 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=13830 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-22 10:35:15.353 D/ActivityThread(13830): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:35:15.385 V/PanelView(  448): animationTick called with dtms=0; nothing to do (h=0.0 v=4000.0)
05-22 10:35:17.400 D/ActivityThread(13830): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:35:21.408 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:35:34.463 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:35:34.502 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:35:34.658 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:35:34.689 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:35:34.713 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:35:34.752 W/ActivityManager(  374): Timeout executing service: ServiceRecord{42fe4260 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-22 10:35:34.814 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:35:34.830 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:35:34.846 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:35:34.869 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:35:34.869 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:35:34.877 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:35:34.947 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:35:34.963 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:35:34.963 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:35:44.486 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-22 10:35:45.736 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:35:45.736 W/InputManager(  374): Input event injection from pid 13699 failed.
05-22 10:35:46.721 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:35:46.721 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:35:46.721 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:35:46.721 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:35:46.728 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:35:46.728 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:35:46.728 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:35:46.728 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:35:46.736 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:35:46.736 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:35:46.736 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:35:46.744 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:35:46.744 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:35:46.744 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:35:46.767 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-22 10:35:46.767 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-22 10:35:46.767 E/ActivityManager(  374): Load: 5.11 / 3.44 / 2.28
05-22 10:35:46.767 E/ActivityManager(  374): CPU usage from 0ms to 10991ms later:
05-22 10:35:46.767 E/ActivityManager(  374):   63% 13830/com.pekall.emdm.launcher:remote: 63% user + 0.1% kernel / faults: 112 minor
05-22 10:35:46.767 E/ActivityManager(  374):   61% 13146/com.pekall.emdm.launcher: 61% user + 0% kernel / faults: 3 minor
05-22 10:35:46.767 E/ActivityManager(  374):   41% 13699/uiautomator: 25% user + 15% kernel / faults: 33 minor
05-22 10:35:46.767 E/ActivityManager(  374):   21% 374/system_server: 15% user + 5.9% kernel / faults: 750 minor
05-22 10:35:46.767 E/ActivityManager(  374):   5.7% 448/com.android.systemui: 5% user + 0.7% kernel / faults: 31 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.6% 124/surfaceflinger: 0.1% user + 0.4% kernel / faults: 4703 minor
05-22 10:35:46.767 E/ActivityManager(  374):   1% 1661/com.qihoo360.mobilesafe:GuardService: 0.8% user + 0.2% kernel / faults: 157 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.4% 1468/com.qihoo.daemon: 0.2% user + 0.1% kernel / faults: 864 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.2% 561/com.android.phone: 0% user + 0.1% kernel / faults: 34 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.1% 568/com.android.nfc: 0% user + 0.1% kernel / faults: 28 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.1% 135/adbd: 0% user + 0.1% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   0.1% 12631/com.nd.assistance.ServerService: 0.1% user + 0% kernel / faults: 6 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0.1% 12874/com.qihoo.appstore: 0% user + 0% kernel / faults: 2 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0% 82/mmcqd/0: 0% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   0% 114/jbd2/mmcblk0p12: 0% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   0% 11404/com.dragon.android.pandaspace: 0% user + 0% kernel / faults: 18 minor
05-22 10:35:46.767 E/ActivityManager(  374):   0% 13144/kworker/0:0: 0% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   0% 13622/logcat: 0% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374): 100% TOTAL: 86% user + 13% kernel
05-22 10:35:46.767 E/ActivityManager(  374): CPU usage from 10777ms to 11431ms later:
05-22 10:35:46.767 E/ActivityManager(  374):   76% 13830/com.pekall.emdm.launcher:remote: 76% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     76% 13844/Thread-4905: 76% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   69% 13146/com.pekall.emdm.launcher: 69% user + 0% kernel / faults: 24 minor
05-22 10:35:46.767 E/ActivityManager(  374):     66% 13160/Thread-4872: 66% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.7% 13146/l.emdm.launcher: 1.7% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   25% 374/system_server: 11% user + 14% kernel / faults: 48 minor
05-22 10:35:46.767 E/ActivityManager(  374):     11% 390/ActivityManager: 0% user + 11% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     3.1% 386/SensorService: 1.5% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     3.1% 387/er.ServerThread: 1.5% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.5% 385/Binder_2: 1.5% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.5% 527/Binder_3: 0% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   23% 448/com.android.systemui: 22% user + 1.5% kernel / faults: 104 minor
05-22 10:35:46.767 E/ActivityManager(  374):     12% 453/GC: 11% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     7.9% 448/ndroid.systemui: 7.9% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.5% 454/Signal Catcher: 0% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.5% 457/Compiler: 1.5% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   3.6% 1661/com.qihoo360.mobilesafe:GuardService: 1.8% user + 1.8% kernel / faults: 13 minor
05-22 10:35:46.767 E/ActivityManager(  374):     1.8% 1661/fe:GuardService: 1.8% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.8% 1672/Binder_2: 0% user + 1.8% kernel
05-22 10:35:46.767 E/ActivityManager(  374):     1.8% 3773/Binder_3: 1.8% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   2.2% 13699/uiautomator: 2.2% user + 0% kernel / faults: 39 minor
05-22 10:35:46.767 E/ActivityManager(  374):     1.1% 13699/uiautomator: 1.1% user + 0% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   0.5% 82/mmcqd/0: 0% user + 0.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   1.5% 135/adbd: 0% user + 1.5% kernel
05-22 10:35:46.767 E/ActivityManager(  374):   1% 11404/com.dragon.android.pandaspace: 0% user + 1% kernel / faults: 16 minor
05-22 10:35:46.767 E/ActivityManager(  374):   1% 12659/kworker/u:2: 0% user + 1% kernel
05-22 10:35:46.767 E/ActivityManager(  374): 100% TOTAL: 88% user + 11% kernel
05-22 10:35:46.775 W/ActivityManager(  374): Killing ProcessRecord{42654820 13830:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:35:46.892 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 13830) has died.
05-22 10:35:46.900 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 80000ms
05-22 10:35:47.002 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4229d950 attribute=null, token = android.os.BinderProxy@42941c88
05-22 10:35:47.127 W/BroadcastQueue(  374): Failure sending broadcast Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 }
05-22 10:35:47.127 W/BroadcastQueue(  374): android.os.DeadObjectException
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at android.os.BinderProxy.transact(Native Method)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at android.content.IIntentReceiver$Stub$Proxy.performReceive(IIntentReceiver.java:124)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.performReceiveLocked(BroadcastQueue.java:376)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.deliverToRegisteredReceiverLocked(BroadcastQueue.java:449)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at com.android.server.am.BroadcastQueue.processNextBroadcast(BroadcastQueue.java:656)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.finishReceiver(ActivityManagerService.java:12390)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at android.app.ActivityManagerNative.onTransact(ActivityManagerNative.java:379)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:1737)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at android.os.Binder.execTransact(Binder.java:388)
05-22 10:35:47.127 W/BroadcastQueue(  374): 	at dalvik.system.NativeStart.run(Native Method)
05-22 10:35:47.135 I/WindowManager(  374): No lock screen!
05-22 10:36:15.736 I/PowerManagerService(  374): Going to sleep due to screen timeout...
05-22 10:36:21.572 D/PhoneStatusBar(  448): disable: < EXPAND* icons alerts TICKER* system_info back home RECENT* clock SEARCH* >
05-22 10:36:21.721 D/PhoneStatusBar(  448): disable: < EXPAND icons alerts TICKER system_info BACK* HOME* RECENT CLOCK* SEARCH >
05-22 10:36:34.377 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:36:34.377 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:36:34.377 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:36:34.377 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:36:34.385 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:36:34.385 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:36:34.385 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:36:34.385 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:36:34.392 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:36:34.721 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:36:34.728 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:36:34.736 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:36:34.736 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:36:34.744 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:36:34.744 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:36:34.744 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:36:34.744 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:36:34.752 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:37:06.924 I/ActivityManager(  374): Start proc com.pekall.emdm.launcher:remote for service com.pekall.emdm.launcher/com.baidu.location.f: pid=13882 uid=10066 gids={50066, 1015, 3002, 3001, 3003, 1028}
05-22 10:37:07.291 D/ActivityThread(13882): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:37:07.291 D/ActivityThread(13882): Loading provider com.pekall.semail.provider;com.pekall.semail.notifier: com.pekall.semail.provider.EmailProvider
05-22 10:37:08.213 W/ActivityManager(  374): Unable to start service Intent { cmp=com.pekall.emdm.launcher/com.pekall.semail.service.AttachmentDownloadService } U=0: not found
05-22 10:37:26.963 W/ActivityManager(  374): Timeout executing service: ServiceRecord{42fe4260 u0 com.pekall.emdm.launcher/com.baidu.location.f}
05-22 10:37:34.025 E/ActivityManager(  374): ANR in com.pekall.emdm.launcher:remote
05-22 10:37:34.025 E/ActivityManager(  374): Reason: Executing service com.pekall.emdm.launcher/com.baidu.location.f
05-22 10:37:34.025 E/ActivityManager(  374): Load: 2.34 / 2.86 / 2.19
05-22 10:37:34.025 E/ActivityManager(  374): CPU usage from 0ms to 7019ms later:
05-22 10:37:34.025 E/ActivityManager(  374):   85% 13146/com.pekall.emdm.launcher: 85% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):   78% 13882/com.pekall.emdm.launcher:remote: 77% user + 0.2% kernel / faults: 118 minor
05-22 10:37:34.025 E/ActivityManager(  374):   27% 374/system_server: 23% user + 4.7% kernel / faults: 797 minor
05-22 10:37:34.025 E/ActivityManager(  374):   1.4% 448/com.android.systemui: 1.2% user + 0.1% kernel / faults: 37 minor
05-22 10:37:34.025 E/ActivityManager(  374):   0.8% 561/com.android.phone: 0.4% user + 0.4% kernel / faults: 30 minor
05-22 10:37:34.025 E/ActivityManager(  374):   0% 568/com.android.nfc: 0% user + 0% kernel / faults: 28 minor
05-22 10:37:34.025 E/ActivityManager(  374):   0.2% 135/adbd: 0.2% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):   0.2% 12874/com.qihoo.appstore: 0.1% user + 0.1% kernel / faults: 1 minor
05-22 10:37:34.025 E/ActivityManager(  374):   0.1% 12631/com.nd.assistance.ServerService: 0% user + 0.1% kernel
05-22 10:37:34.025 E/ActivityManager(  374):   0.1% 13652/logcat: 0% user + 0.1% kernel
05-22 10:37:34.025 E/ActivityManager(  374): 100% TOTAL: 96% user + 3.2% kernel
05-22 10:37:34.025 E/ActivityManager(  374): CPU usage from 6169ms to 6755ms later:
05-22 10:37:34.025 E/ActivityManager(  374):   98% 13146/com.pekall.emdm.launcher: 98% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):     98% 13160/Thread-4872: 98% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):   94% 13882/com.pekall.emdm.launcher:remote: 94% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):     94% 13895/Thread-4908: 94% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):   8.7% 374/system_server: 3.5% user + 5.2% kernel / faults: 62 minor
05-22 10:37:34.025 E/ActivityManager(  374):     7% 390/ActivityManager: 3.5% user + 3.5% kernel
05-22 10:37:34.025 E/ActivityManager(  374):     1.7% 380/Compiler: 1.7% user + 0% kernel
05-22 10:37:34.025 E/ActivityManager(  374):     1.7% 382/FinalizerDaemon: 0% user + 1.7% kernel
05-22 10:37:34.025 E/ActivityManager(  374): 100% TOTAL: 95% user + 4.3% kernel
05-22 10:37:34.041 W/ActivityManager(  374): Killing ProcessRecord{426e1e50 13882:com.pekall.emdm.launcher:remote/u0a10066}: background ANR
05-22 10:37:34.049 I/ActivityManager(  374): Process com.pekall.emdm.launcher:remote (pid 13882) has died.
05-22 10:37:34.049 W/ActivityManager(  374): Scheduling restart of crashed service com.pekall.emdm.launcher/com.baidu.location.f in 320000ms
05-22 10:37:34.510 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:37:34.510 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:37:34.517 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:37:34.525 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:37:34.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:37:34.963 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:37:34.971 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:37:34.978 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:37:34.986 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:37:35.010 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:37:35.033 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:38:34.767 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:38:34.775 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:38:34.783 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:38:35.158 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:38:35.166 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:38:35.174 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:38:35.181 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:38:35.181 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:38:35.189 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:38:35.197 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:39:32.049 I/PowerManagerService(  374): Waking up from sleep...
05-22 10:39:32.166 I/WindowManager(  374): Lock screen displayed!
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:39:34.931 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:39:34.939 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:39:35.283 D/PhoneStatusBar(  448): disable: < expand* icons alerts ticker* system_info BACK HOME recent* CLOCK search* >
05-22 10:39:35.353 D/PhoneStatusBar(  448): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
05-22 10:39:35.502 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
05-22 10:39:35.510 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
05-22 10:39:35.517 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
05-22 10:39:36.197 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4310bf20 attribute=android.view.inputmethod.EditorInfo@429fea80, token = android.os.BinderProxy@42941c88
05-22 10:39:36.455 I/ActivityManager(  374): START u0 {flg=0x10000000 cmp=com.pekall.emdm.launcher/.ui.BackPersonalActivity} from pid 13146
